"Action","Category","Description","ExposedMetadataProperty","ExtendedProperty","Id","Impact","ImpactedField","ImpactedValue","Label","LastUpdated","LearnMoreLink","Metadata","Name","PotentialBenefit","RecommendationTypeId","Remediation","ResourceGroupName","ResourceMetadataAction","ResourceMetadataPlural","ResourceMetadataResourceId","ResourceMetadataSingular","ResourceMetadataSource","Risk","ShortDescriptionProblem","ShortDescriptionSolution","SuppressionId","Type"
,"Cost",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExposedMetadataProperties","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExtendedProperties","/subscriptions/72372635-c9f6-4259-b13c-df88e9414922/providers/Microsoft.Advisor/recommendations/b0687fb8-bfec-9d7b-eaa3-0c1d935cc679","High","Microsoft.Subscriptions/subscriptions","72372635-c9f6-4259-b13c-df88e9414922",,"09/10/2023 09:37:11",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesMetadata","b0687fb8-bfec-9d7b-eaa3-0c1d935cc679",,"89515250-1243-43d1-b4e7-f9437cedffd8","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesRemediation",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.ResourceMetadataAction",,"/subscriptions/72372635-c9f6-4259-b13c-df88e9414922",,,,"Purchasing a savings plan for compute could unlock lower prices","Purchasing a savings plan for compute could unlock lower prices",,"Microsoft.Advisor/recommendations"
,"Cost",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExposedMetadataProperties","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExtendedProperties","/subscriptions/72372635-c9f6-4259-b13c-df88e9414922/providers/Microsoft.Advisor/recommendations/fa053100-e06b-d0c9-2122-a74eb1f8f554","High","Microsoft.Subscriptions/subscriptions","72372635-c9f6-4259-b13c-df88e9414922",,"09/10/2023 09:37:11",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesMetadata","fa053100-e06b-d0c9-2122-a74eb1f8f554",,"89515250-1243-43d1-b4e7-f9437cedffd8","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesRemediation",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.ResourceMetadataAction",,"/subscriptions/72372635-c9f6-4259-b13c-df88e9414922",,,,"Purchasing a savings plan for compute could unlock lower prices","Purchasing a savings plan for compute could unlock lower prices",,"Microsoft.Advisor/recommendations"
,"Cost",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExposedMetadataProperties","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExtendedProperties","/subscriptions/72372635-c9f6-4259-b13c-df88e9414922/providers/Microsoft.Advisor/recommendations/cf48bd8d-86b3-788a-395e-5be18b7873be","High","Microsoft.Subscriptions/subscriptions","72372635-c9f6-4259-b13c-df88e9414922",,"09/10/2023 07:56:51",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesMetadata","cf48bd8d-86b3-788a-395e-5be18b7873be",,"84b1a508-fc21-49da-979e-96894f1665df","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesRemediation",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.ResourceMetadataAction",,"/subscriptions/72372635-c9f6-4259-b13c-df88e9414922",,,,"Consider virtual machine reserved instance to save over your on-demand costs","Consider virtual machine reserved instance to save over your on-demand costs",,"Microsoft.Advisor/recommendations"
,"Cost",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExposedMetadataProperties","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExtendedProperties","/subscriptions/72372635-c9f6-4259-b13c-df88e9414922/providers/Microsoft.Advisor/recommendations/dbc25b81-ae33-74bf-5a06-71c84cb27cff","High","Microsoft.Subscriptions/subscriptions","72372635-c9f6-4259-b13c-df88e9414922",,"09/10/2023 08:27:50",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesMetadata","dbc25b81-ae33-74bf-5a06-71c84cb27cff",,"84b1a508-fc21-49da-979e-96894f1665df","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesRemediation",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.ResourceMetadataAction",,"/subscriptions/72372635-c9f6-4259-b13c-df88e9414922",,,,"Consider virtual machine reserved instance to save over your on-demand costs","Consider virtual machine reserved instance to save over your on-demand costs",,"Microsoft.Advisor/recommendations"
,"Cost",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExposedMetadataProperties","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExtendedProperties","/subscriptions/72372635-c9f6-4259-b13c-df88e9414922/providers/Microsoft.Advisor/recommendations/4f60969b-f4f3-c6af-eb0d-5e59508bbe73","High","Microsoft.Subscriptions/subscriptions","72372635-c9f6-4259-b13c-df88e9414922",,"09/10/2023 08:27:50",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesMetadata","4f60969b-f4f3-c6af-eb0d-5e59508bbe73",,"84b1a508-fc21-49da-979e-96894f1665df","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesRemediation",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.ResourceMetadataAction",,"/subscriptions/72372635-c9f6-4259-b13c-df88e9414922",,,,"Consider virtual machine reserved instance to save over your on-demand costs","Consider virtual machine reserved instance to save over your on-demand costs",,"Microsoft.Advisor/recommendations"
,"Cost",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExposedMetadataProperties","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExtendedProperties","/subscriptions/72372635-c9f6-4259-b13c-df88e9414922/providers/Microsoft.Advisor/recommendations/cdebdef6-bfd9-f0c5-973d-ee1f112dc263","High","Microsoft.Subscriptions/subscriptions","72372635-c9f6-4259-b13c-df88e9414922",,"09/10/2023 07:56:51",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesMetadata","cdebdef6-bfd9-f0c5-973d-ee1f112dc263",,"84b1a508-fc21-49da-979e-96894f1665df","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesRemediation",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.ResourceMetadataAction",,"/subscriptions/72372635-c9f6-4259-b13c-df88e9414922",,,,"Consider virtual machine reserved instance to save over your on-demand costs","Consider virtual machine reserved instance to save over your on-demand costs",,"Microsoft.Advisor/recommendations"
,"Cost",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExposedMetadataProperties","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExtendedProperties","/subscriptions/72372635-c9f6-4259-b13c-df88e9414922/providers/Microsoft.Advisor/recommendations/1117e642-b6a5-409b-9989-7ed13d7e58ba","High","Microsoft.Subscriptions/subscriptions","72372635-c9f6-4259-b13c-df88e9414922",,"09/10/2023 08:32:29",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesMetadata","1117e642-b6a5-409b-9989-7ed13d7e58ba",,"84b1a508-fc21-49da-979e-96894f1665df","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesRemediation",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.ResourceMetadataAction",,"/subscriptions/72372635-c9f6-4259-b13c-df88e9414922",,,,"Consider virtual machine reserved instance to save over your on-demand costs","Consider virtual machine reserved instance to save over your on-demand costs",,"Microsoft.Advisor/recommendations"
,"Cost",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExposedMetadataProperties","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExtendedProperties","/subscriptions/72372635-c9f6-4259-b13c-df88e9414922/providers/Microsoft.Advisor/recommendations/513dfc6a-578c-f1fd-67f4-d4e2de3db5aa","High","Microsoft.Subscriptions/subscriptions","72372635-c9f6-4259-b13c-df88e9414922",,"09/10/2023 08:32:29",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesMetadata","513dfc6a-578c-f1fd-67f4-d4e2de3db5aa",,"84b1a508-fc21-49da-979e-96894f1665df","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesRemediation",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.ResourceMetadataAction",,"/subscriptions/72372635-c9f6-4259-b13c-df88e9414922",,,,"Consider virtual machine reserved instance to save over your on-demand costs","Consider virtual machine reserved instance to save over your on-demand costs",,"Microsoft.Advisor/recommendations"
,"Cost",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExposedMetadataProperties","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExtendedProperties","/subscriptions/72372635-c9f6-4259-b13c-df88e9414922/providers/Microsoft.Advisor/recommendations/26bb961c-8423-2c48-2cf9-7fa8f8a7eecc","High","Microsoft.Subscriptions/subscriptions","72372635-c9f6-4259-b13c-df88e9414922",,"09/10/2023 08:39:33",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesMetadata","26bb961c-8423-2c48-2cf9-7fa8f8a7eecc",,"84b1a508-fc21-49da-979e-96894f1665df","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesRemediation",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.ResourceMetadataAction",,"/subscriptions/72372635-c9f6-4259-b13c-df88e9414922",,,,"Consider virtual machine reserved instance to save over your on-demand costs","Consider virtual machine reserved instance to save over your on-demand costs",,"Microsoft.Advisor/recommendations"
,"Cost",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExposedMetadataProperties","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesExtendedProperties","/subscriptions/72372635-c9f6-4259-b13c-df88e9414922/providers/Microsoft.Advisor/recommendations/a9c238f9-c7b0-9140-bb46-ee83ac8c2e51","High","Microsoft.Subscriptions/subscriptions","72372635-c9f6-4259-b13c-df88e9414922",,"09/10/2023 08:39:33",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesMetadata","a9c238f9-c7b0-9140-bb46-ee83ac8c2e51",,"84b1a508-fc21-49da-979e-96894f1665df","Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.RecommendationPropertiesRemediation",,"Microsoft.Azure.PowerShell.Cmdlets.Advisor.Models.Api202001.ResourceMetadataAction",,"/subscriptions/72372635-c9f6-4259-b13c-df88e9414922",,,,"Consider virtual machine reserved instance to save over your on-demand costs","Consider virtual machine reserved instance to save over your on-demand costs",,"Microsoft.Advisor/recommendations"
